"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.185251927371089,0.111803196520235,-1.65694660919253,0.0975929725556422
"groupnegative",-0.1530759416486,0.050343263475863,-3.04064399245775,0.00237294913995672
"grouppositive",0.168613354767083,0.0331230427414,5.09051526707527,3.70175611476419e-07
"age",0.00345067117174125,0.0019343161103982,1.7839230895052,0.0744967546955655
"PC1",0.128149713210892,0.497651070397411,0.25750916823821,0.796796329138382
"PC2",0.0228158760998135,0.46339561114328,0.0492362800837121,0.960732964381123
"PC3",-0.922220066528939,0.909382295788058,-1.01411702295101,0.310575956664178
"PC4",0.746775869586478,1.47760191746752,0.505397198500113,0.613302149716718
"PC5",-1.13243338221108,1.45341466356062,-0.77915367898987,0.435926045099995
"PC6",5.69535512098748,3.9720277797941,1.43386588330526,0.151673033482188
"PC7",-1.61543335422225,2.61491633019922,-0.617776307243904,0.536750921693347
"PC8",0.0490290512501234,2.61093513213202,0.0187783490469515,0.985018674547484
"PC9",-1.97736276841196,1.7807990230011,-1.11037952226614,0.266888882240552
"PC10",-3.34533731284311,4.84049858612585,-0.69111420101056,0.489525841786542
