"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.147143706505864,0.0999783945147757,1.4717550448774,0.141156363919084
"groupnegative",-0.106347633184902,0.0464409309689825,-2.28995480852721,0.0220696074384474
"grouppositive",0.0853735159895232,0.029916061067627,2.85376860932765,0.00433996518199028
"age",-0.00202247430960033,0.00171544175057523,-1.17898162903062,0.238467287744533
"PC1",0.0479759492831317,0.459312430085529,0.10445166762458,0.91681553699112
"PC2",-0.157986649782208,0.439026316986301,-0.359856900758725,0.718970890747482
"PC3",0.572122846727592,0.779371617217294,0.734082219686582,0.462936546358466
"PC4",-1.55834248308388,1.34596719042282,-1.15778638154942,0.247012140353141
"PC5",-2.01659011153858,1.28310457653706,-1.57164906774871,0.116101659605495
"PC6",-2.0961242596583,3.77872987105433,-0.554716619389745,0.579115838587713
"PC7",1.6992132408895,2.75922185876998,0.615830595676341,0.53803721040237
"PC8",-0.0659399235789396,2.15685157358813,-0.0305723047364089,0.975611973562871
"PC9",0.354444283413486,1.65049921170444,0.214749744137992,0.829972084336058
"PC10",-6.41004113970062,4.34070379008608,-1.47672853290307,0.139817793099092
