"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",0.0424599068684247,0.0281921001349563,1.50609236861277,0.132048408305318
"PRS_BMI_zscore",0.30240048236772,0.0052052521775196,58.0952607202635,0
"CNV_effect_continuous",1.11448166188712,0.187286140052349,5.9506894721393,2.68401918375486e-09
"age",0.000226671894742565,0.000478101773814503,0.474108039662932,0.635424486349818
"sex2",-0.0264309962537654,0.00768939534366781,-3.43733090476759,0.000587851458067499
"PC1",-0.132965823817527,0.128665355395217,-1.03342367033535,0.301409586536323
"PC2",-0.162701664730542,0.127772864837703,-1.27336633593686,0.202892711150719
"PC3",-0.00543366597691929,0.229669443373079,-0.023658636939755,0.981124973604074
"PC4",-0.409926018904652,0.364289922376783,-1.12527411197686,0.260477124420486
"PC5",0.28563265911533,0.363890262157853,0.784941749805399,0.432490633287641
"PC6",1.66724964992183,0.99739606864125,1.67160238779878,0.0946076518198723
"PC7",-0.297546636892632,0.709754320538973,-0.419224833554632,0.67505323430861
"PC8",0.483343104989599,0.709220827279352,0.681512846772642,0.495549511499135
"PC9",0.0471091073360014,0.454032127588468,0.103757211160838,0.9173623494129
"PC10",0.933961636653606,1.19944393937493,0.77866218336167,0.436181622699977
"PRS_BMI_zscore:CNV_effect_continuous",0.231909465597911,0.17164943340048,1.35106455642551,0.176679539386963
