"","locus","PRS_quantile","count","estimate","se","ci_lower","ci_upper","z","p"
"1","13q12.12_DUP","1","47","0.0157482048772241","0.138938000032508","-0.256570275186492","0.28806668494094","0.113346995591842","0.909755816044111"
"2","13q12.12_DUP","2","52","-0.0392407045106836","0.133637799173283","-0.301170790890319","0.222689381868952","-0.293634770651989","0.769037956945683"
"3","13q12.12_DUP","3","39","0.0198759599447982","0.154537902821973","-0.283018329586269","0.322770249475865","0.128615437260691","0.897662355277108"
"4","13q12.12_DUP","4","44","-0.0141389404224439","0.149247381490334","-0.306663808143498","0.27838592729861","-0.0947349312346876","0.924525668773375"
"5","15q11.2__BP1_BP2_CYFIP_DEL","1","337","-0.0300396797112132","0.0513034036960917","-0.130594350955553","0.0705149915331265","-0.585529956046594","0.558193496793538"
"6","15q11.2__BP1_BP2_CYFIP_DEL","2","338","0.0765458116958213","0.0526048198283566","-0.0265596351677576","0.1796512585594","1.45511023411127","0.145643658807224"
"7","15q11.2__BP1_BP2_CYFIP_DEL","3","331","0.135770931051609","0.0532468096444301","0.0314071841485257","0.240134677954692","2.54984161414093","0.010779499679424"
"8","15q11.2__BP1_BP2_CYFIP_DEL","4","341","0.068924407258794","0.0537331023058256","-0.0363924732606242","0.174241287778212","1.28271780896822","0.199595612625538"
"9","15q11.2__BP1_BP2_CYFIP_DUP","1","339","0.114249894013717","0.0515291337365965","0.0132527918899878","0.215246996137446","2.21719027138575","0.026613595327796"
"10","15q11.2__BP1_BP2_CYFIP_DUP","2","331","0.0790597462558948","0.0531628078235159","-0.0251393570781963","0.183258849589986","1.48712510667888","0.136986705904913"
"11","15q11.2__BP1_BP2_CYFIP_DUP","3","392","0.0373502652478316","0.0489991886759453","-0.0586881445570211","0.133388675052684","0.762262932450709","0.445905905331791"
"12","15q11.2__BP1_BP2_CYFIP_DUP","4","377","0.0671953502721159","0.0512568977077107","-0.0332681692349971","0.167658869779229","1.3109523454832","0.189878576918955"
"13","15q13.3_inclCHRNA7_DEL","1","8","1.10504097094778","0.333043056226104","0.452276580744611","1.75780536115094","3.31801234191641","0.000907110563432732"
"14","15q13.3_inclCHRNA7_DEL","2","3","0.621226166662414","0.556141346270675","-0.46881087202811","1.71126320535294","1.11702927830879","0.263986006932851"
"15","15q13.3_inclCHRNA7_DEL","3","10","0.788430263461851","0.305121651113632","0.190391827279132","1.38646869964457","2.58398661840037","0.0097687556917828"
"16","15q13.3_inclCHRNA7_DEL","4","10","-0.419428774637463","0.312977587998325","-1.03286484711418","0.194007297839253","-1.34012399200836","0.180209803912113"
"17","15q13.3_inclCHRNA7_DUP","1","46","0.0563529745085354","0.138930289195291","-0.215950392314236","0.328656341331307","0.40562050820553","0.685022815079033"
"18","15q13.3_inclCHRNA7_DUP","2","53","0.236702441338511","0.132364303891099","-0.0227315942880426","0.496136476965065","1.78826492022544","0.0737380130033408"
"19","15q13.3_inclCHRNA7_DUP","3","42","0.178580046431281","0.145490399651496","-0.106581136885651","0.463741229748213","1.22743525936452","0.219663561612505"
"20","15q13.3_inclCHRNA7_DUP","4","50","0.0629770513498845","0.140017974715508","-0.21145817909251","0.33741228179228","0.449778333659254","0.652871808127538"
"21","16p11.2_distal_DUP","1","27","-0.396971142548665","0.181311511435252","-0.752341704961758","-0.0416005801355709","-2.18944257541213","0.0285682894736346"
