"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",-0.101517572284175,0.012779876522325,-7.94354875861557,1.97267951340153e-15
"PRS_HEIGHT_zscore",0.79800290337003,0.0042319823207452,188.564800816444,0
"sex2",0.0120375955259061,0.00376162469091758,3.20010541056125,0.00137394102087061
"age",-0.00146385923184842,0.000218339310601233,-6.70451522365554,2.0249334862318e-11
"PC1",-0.00410662448395765,0.0576286377590457,-0.0712601346075207,0.943190778250468
"PC2",-0.00374184571851962,0.0567592052002112,-0.0659249139469222,0.947437656814074
"PC3",0.212157192153588,0.102630531861861,2.06719373177514,0.0387169066895942
"PC4",-0.307513094346172,0.164122016418025,-1.87368581655081,0.0609748818016713
"PC5",0.00607532853289923,0.164371613332872,0.0369609351013425,0.970516182574157
"PC6",-0.139087128442752,0.452166514077351,-0.307601567370729,0.758385777987468
"PC7",-0.26455453789694,0.318273782570575,-0.831216871714139,0.40585190163373
"PC8",-0.0700190532077918,0.31783508802057,-0.220299947510076,0.825637736949065
"PC9",0.019340565182663,0.204993769047948,0.0943470880724148,0.92483351977171
"PC10",-0.323837612865343,0.544050569009847,-0.595234397888262,0.551687327105301
"PRS_HEIGHT_zscore:sex2",-0.057185302042358,0.00576927410454069,-9.91204456681136,3.7258620600957e-23
