"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",-0.075191657873694,0.0166253554071419,-4.52270980272659,6.11039698009122e-06
"PRS_HEIGHT_zscore",0.740899903023509,0.00376588233290627,196.740056519963,0
"age",-0.0016867005413801,0.000289490889228052,-5.8264373910965,5.67490762441324e-09
"PC1",-0.0132115859032725,0.0763230569441039,-0.173100848318329,0.86257241358349
"PC2",-0.00430497575883842,0.0753182565112546,-0.0571571350459385,0.954420106842817
"PC3",0.224288927722245,0.134570343413041,1.66670398569043,0.095575563217077
"PC4",-0.242322920725434,0.216121557867839,-1.12123437900451,0.262190072504172
"PC5",0.153934904274574,0.217610020297716,0.707388860420917,0.479326059441093
"PC6",0.527216294186856,0.603991807150238,0.872886499362259,0.382726473746575
"PC7",0.13422595899925,0.418462622829652,0.320759732593587,0.748392965597791
"PC8",0.254732375551196,0.429170873167558,0.593545348665221,0.552817222112756
"PC9",-0.0470860849421894,0.269456493453587,-0.174744665970723,0.861280527258674
"PC10",-0.154437433270465,0.71497465338655,-0.216004067471422,0.828984898234084
