"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",-0.117330834365886,0.0191124995857061,-6.13895811166613,8.33268286316993e-10
"PRS_HEIGHT_zscore",0.797937154825628,0.00442128396205557,180.476341640505,0
"age",-0.00121899474571661,0.000330618483216657,-3.68701330263437,0.00022700271389856
"PC1",0.000567619140916245,0.0874876501284238,0.00648799162033764,0.99482337889649
"PC2",-0.00708279167358356,0.0861324474091642,-0.0822313992767141,0.934462843888074
"PC3",0.203526741097648,0.15750391635855,1.29220114523584,0.196290015518916
"PC4",-0.367517745317396,0.250654650025429,-1.46623150729544,0.14258788174116
"PC5",-0.151664757583851,0.249501730898328,-0.607870562812467,0.543274489899336
"PC6",-0.830328392479274,0.6797020909245,-1.2216063530861,0.221858955619116
"PC7",-0.708887758654175,0.486773787880535,-1.45629813335009,0.14531287122815
"PC8",-0.38966757271586,0.472927727144969,-0.823947403270803,0.409971102739381
"PC9",0.109983275575654,0.313618248533477,0.350691568778127,0.72582037497438
"PC10",-0.521207536459839,0.832141225539443,-0.626345048728912,0.531089851028751
