"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.015282965289043,0.115842314531231,-0.131929039495517,0.895047732813887
"groupnegative",-0.31425858025319,0.0426386471196524,-7.37027559461067,2.09779783417094e-13
"grouppositive",0.303459448725673,0.0733455502054571,4.13739412787301,3.5924040470193e-05
"groupsuggestive negative",-0.0368418050441769,0.0506851397041217,-0.726875870506497,0.467348883753305
"age",0.000647077172076479,0.00201345466588554,0.321376578792693,0.7479435375337
"PC1",0.241260049062448,0.536192550572849,0.449950393388895,0.652773084885178
"PC2",0.37909035451884,0.477407233613079,0.794060767889576,0.427211975330494
"PC3",0.0532493409293119,0.93464130123468,0.0569730236176899,0.95456982079435
"PC4",-3.53662688545202,1.52351918264442,-2.3213536959301,0.0203228802829912
"PC5",2.04967176961164,1.53717174576926,1.33340453026991,0.182482775967076
"PC6",2.46244265535813,4.04858248788168,0.608223412201375,0.543077371992045
"PC7",-0.128419223270339,2.63253916639159,-0.048781505289573,0.96109610567588
"PC8",-0.363071506235825,2.787043011605,-0.1302712246363,0.89635906566115
"PC9",1.00164221596735,1.84530981972987,0.542804360144779,0.587297844727246
"PC10",3.07098085815409,5.02845119864498,0.61072102260466,0.541422532257248
