"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",-0.160074118541072,0.0126953723326219,-12.608855758389,1.93493465701104e-36
"PRS_HEIGHT_zscore",0.73358796486793,0.00289914502733657,253.035966793932,0
"PRS_HEIGHT_zscore_squared",0.171511609309102,0.00260409275395604,65.8623273109408,0
"age",-0.00144115331618084,0.000216551017236712,-6.65502907615306,2.83812175726587e-11
"sex2",-0.00185708382088658,0.00347692604082659,-0.534116572823355,0.593261348749756
"PC1",0.0027271949620123,0.0571567869056068,0.0477142804845942,0.961943990156708
"PC2",0.00174377376826342,0.0562945811985303,0.03097587247543,0.975288805593125
"PC3",0.200187778575149,0.101790459795238,1.96666543188671,0.0492228746116438
"PC4",-0.315549458796373,0.162777949138233,-1.93852705766924,0.0525600522704065
"PC5",0.0318101463811612,0.163026354435235,0.195122724122488,0.84529702826131
"PC6",0.00638571493768641,0.448467277604972,0.0142389763012123,0.988639335653233
"PC7",-0.265973566059745,0.31566802067413,-0.842573680703355,0.39946770415796
"PC8",-0.0150194812310409,0.315233616043598,-0.0476455570301982,0.96199876119312
"PC9",0.0300363406594974,0.203315501585028,0.147732663891032,0.882553868920911
"PC10",-0.261419587399557,0.539594531579964,-0.484474122882797,0.628049839941342
