"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",0.0392104810632543,0.0135476362903907,2.89426732625427,0.00380076578056806
"even_chr_PRS_HEIGHT_zscore",0.343268755564638,0.00185628086165709,184.92285443174,0
"age",-0.000657549580899632,0.000231810796936181,-2.83657875125057,0.00456033146665983
"sex2",0.00208222026960048,0.003722700606069,0.559330574746168,0.575936622571892
"PC1",-0.01320008841786,0.061196769935292,-0.215699103593499,0.829222472079779
"PC2",0.00175795107787811,0.0602735663252112,0.0291662031145284,0.976732058534089
"PC3",0.197065108614997,0.108985085979104,1.80818418267597,0.0705790141445946
"PC4",-0.20518123726667,0.174283005277233,-1.17728769331403,0.23908179327565
"PC5",0.087109649129595,0.174549422696329,0.499054352537982,0.617741523577908
"PC6",-0.174912982692673,0.480161230153635,-0.364279687130731,0.715649467961918
"PC7",-0.245121945949283,0.337980302355699,-0.725255123570219,0.468296194935609
"PC8",-0.0259165654469569,0.337514091896879,-0.0767866174158892,0.938793357147593
"PC9",0.0937520579995681,0.21768614064025,0.430675364650356,0.666704797017894
"PC10",-0.274491177578598,0.577734006299988,-0.475116878330455,0.634704074734
