"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",0.0586417387832303,0.0134715776357048,4.35299712988383,1.34340952232817e-05
"odd_chr_PRS_HEIGHT_zscore",0.357759372537634,0.00184607715785241,193.794376912082,0
"age",-0.000936088632440284,0.00023050417615533,-4.06104847232565,4.88673656018445e-05
"sex2",-0.00433256571228312,0.00370134305811071,-1.17053881368527,0.24178529507574
"PC1",0.0135775149950968,0.0608451004276968,0.223148863255329,0.823419827904805
"PC2",0.00908277617936953,0.0599271984385611,0.15156350398528,0.879531339979133
"PC3",0.185680399405498,0.108358784015523,1.71357034957958,0.086608875223205
"PC4",-0.323231896806449,0.173282611331804,-1.86534525491147,0.0621341702325875
"PC5",-0.0715865551653778,0.173546657993149,-0.412491695277725,0.679979412380913
"PC6",-0.154676815541457,0.477402325719331,-0.323996778416185,0.745940738297414
"PC7",-0.203731057930574,0.336038109949322,-0.606273669261201,0.544333578617675
"PC8",-0.0148757772645644,0.33557470513481,-0.0443292567554768,0.964641985693907
"PC9",-0.00532907388858788,0.216435812774357,-0.0246219598331615,0.980356522411389
"PC10",-0.243319294951177,0.574414303200342,-0.423595466887796,0.671861218219433
