"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",0.074735371450559,0.0126839513070107,5.89212065243827,3.81745843411671e-09
"odd_chr_PRS_HEIGHT_zscore",0.331936348178238,0.00176833787932249,187.710930167607,0
"even_chr_PRS_HEIGHT_zscore",0.316790691949614,0.00177160431854922,178.815714453121,0
"age",-0.00142786334879504,0.000216996484809553,-6.58012202385766,4.70964275291696e-11
"sex2",-0.0017679214686126,0.00348410285221261,-0.507425166134194,0.611856969224402
"PC1",0.00305772713125337,0.0572735664892649,0.0533881041235052,0.957422724945916
"PC2",0.000422728808054703,0.0564094968051703,0.00749392978126968,0.994020770939792
"PC3",0.205688325963534,0.101998173838409,2.01658831940852,0.0437395365361038
"PC4",-0.299035359643831,0.163110840680744,-1.83332608915389,0.0667552538612542
"PC5",0.01825117467523,0.163360129644686,0.111723556506272,0.91104268858355
"PC6",-0.0391002007360088,0.449380944540024,-0.0870090314488766,0.930664401422172
"PC7",-0.258176039823525,0.316312536487969,-0.816205524732166,0.414383358037545
"PC8",-0.035017486232106,0.315876701491301,-0.110858085027427,0.911728970988371
"PC9",0.0255203630555076,0.203730939121618,0.125265034194306,0.900313831269258
"PC10",-0.246545862193217,0.540696747517441,-0.455978075187634,0.648406131674136
"odd_chr_PRS_HEIGHT_zscore:even_chr_PRS_HEIGHT_zscore",0.0821368128499421,0.00145924232709655,56.2873015158279,0
