"","locus","count","estimate","se","ci_lower","ci_upper","z","p"
"1","13q12.12_DUP","182","0.295363724098141","0.0726310047816395","0.153006954726128","0.437720493470155","4.06663414592891","7.33562187018914e-05"
"2","15q11.2__BP1_BP2_CYFIP_DEL","1347","0.336108310777889","0.0287412279394894","0.27977550401649","0.392441117539289","11.694291958768","3.83941566313525e-30"
"3","15q11.2__BP1_BP2_CYFIP_DUP","1439","0.270835995562483","0.028040242370033","0.215877120517218","0.325794870607747","9.65883218798167","2.02729978567734e-21"
"4","15q13.3_inclCHRNA7_DEL","31","-0.00708060641891704","0.17823348009679","-0.356418227408625","0.342257014570791","-0.0397265789517879","0.968773933759375"
"5","15q13.3_inclCHRNA7_DUP","191","0.309611031687619","0.0746659914589266","0.163265688428123","0.455956374947115","4.1466138149111","5.22757452860095e-05"
"6","16p11.2_distal_DUP","100","0.335731802357842","0.106261064717575","0.127460115511395","0.544003489204288","3.15949970245606","0.00218932560128122"
"7","16p11.2_proximal_DEL","92","0.276897918895017","0.125780093967635","0.0303689347184524","0.523426903071581","2.2014446814316","0.0306994320830316"
"8","16p11.2_proximal_DUP","118","0.15458156872122","0.107117263185497","-0.0553682671223543","0.364531404564795","1.44310603281124","0.15205469775158"
"9","16p12.1_BP1_BP2_DEL","666","0.252674249483943","0.0387159071545599","0.176791071461006","0.328557427506881","6.5263677918027","1.35710982758826e-10"
"10","16p12.1_BP1_BP2_DUP","64","0.351877184398761","0.1357197747888","0.0858664258127125","0.61788794298481","2.59267439064302","0.012455606009137"
"11","16p12.1_BP2_BP3_DEL","207","0.487551211563753","0.0762553388219034","0.338090747472822","0.637011675654684","6.39366658251225","1.19131533838176e-09"
"12","16p12.1_BP2_BP3_DUP","159","0.357193905466571","0.0869724016309799","0.186727998269851","0.527659812663292","4.10697990130397","6.67146616109071e-05"
"13","16p13.11_BP1_BP2_DEL","96","0.380454386844587","0.124183948355709","0.137053848067397","0.623854925621778","3.06363577484928","0.00295841785331806"
"14","16p13.11_BP1_BP2_DUP","516","0.364337165683106","0.0465883247035754","0.273024049264098","0.455650282102114","7.8203534469473","3.15801295405994e-14"
"15","16p13.11_BP1_BP3_DUP","139","0.387844076359822","0.10094733173019","0.189987306168651","0.585700846550994","3.84204386299625","0.000193044845593975"
"16","17p12_DEL","188","0.251533100186492","0.0758804683451401","0.102807382230018","0.400258818142967","3.31485961634292","0.00111577223815419"
"17","17p12_DUP","103","0.345759660762115","0.123989849565031","0.102739555614654","0.588779765909576","2.78861263220396","0.00653098443131629"
"18","17q12_DUP","84","0.297469872906155","0.142882997036932","0.0174191987137682","0.577520547098541","2.08191232739376","0.0410080538156048"
"19","1q21.1_DEL","89","0.254189457930648","0.152227165473174","-0.0441757863967732","0.55255470225807","1.66980352777732","0.0991271663863982"
"20","1q21.1_DUP","170","0.273045610411962","0.0777913883639301","0.120574489218659","0.425516731605265","3.50997219813814","0.000586006199596568"
"21","1q21.1_TAR_BP1_BP2_DEL","157","0.27023064422968","0.0791970766853859","0.115004373926324","0.425456914533037","3.4121290272264","0.000838457508056762"
"22","1q21.1_TAR_BP1_BP2_DUP","21","0.00159233726782716","0.342532221496281","-0.669770816864883","0.672955491400538","0.00464872256651173","0.996420577843203"
"23","1q21.1_TAR_BP1_BP3_DUP","204","0.396231429575692","0.0794003028191927","0.240606836050075","0.55185602310131","4.99030123950503","1.35737737617462e-06"
"24","1q21.1_TAR_BP2_BP3_DUP","73","0.196284984217796","0.149671339977343","-0.0970708421377955","0.489640810573387","1.3114400141504","0.194789892000222"
"25","22q11.2_BP1_BP2_A_B_DUP","27","0.0778363009612052","0.186357117079977","-0.287423648515549","0.44309625043796","0.4176728111103","0.683002432424248"
"26","22q11.2_BP1_BP4_A_D_DUP","209","0.418250736092514","0.0835933630716486","0.254407744472083","0.582093727712946","5.0033964506731","1.25377900826985e-06"
"27","22q11.2_BP2_BP4_B_D_DUP","80","0.318761548275798","0.13667706103567","0.0508745086458843","0.586648587905712","2.33222419227033","0.0227492390000036"
"28","22q11.2_BP3_BP4_C_D_DUP","75","0.3650586191983","0.154545727335097","0.0621489936215103","0.667968244775089","2.36213983714189","0.0214315065281613"
"29","22q11.2_BP6_BP8_F_H_DUP","157","0.326572638961159","0.078121582984048","0.173454336312425","0.479690941609893","4.18031261639749","5.04800636015972e-05"
"30","22q13_DEL","56","0.726709018762339","0.163316416978118","0.406608841485228","1.04680919603945","4.44969974365595","6.21510717776201e-05"
"31","2q13_NPHP1_DEL","1967","0.303425994792736","0.0236619967799777","0.25704848110398","0.349803508481493","12.8233469733834","3.38524657977023e-36"
"32","2q13_NPHP1_DUP","771","0.330351089497175","0.0368324618167924","0.258159464336262","0.402542714658088","8.96902007637631","2.34661929942971e-18"
