"","locus","CNVxSex_estimate","CNVxSex_se","CNVxSex_ci_lower","CNVxSex_ci_upper","CNVxSex_z","CNVxSex_p"
"1","13q12.12_DUP","-0.676085610969608","0.281999141901898","-1.22880392909733","-0.123367292841888","-2.39747400084219","0.0165114045828412"
"2","15q11.2_BP1_BP2_CYFIP_DEL",NA,NA,NA,NA,NA,NA
"3","15q11.2_BP1_BP2_CYFIP_DUP",NA,NA,NA,NA,NA,NA
"4","15q13.3_inclCHRNA7_DEL","0.403338039982414","0.62752685684107","-0.826614599426083","1.63329067939091","0.642742275625926","0.520393650599073"
"5","15q13.3_inclCHRNA7_DUP","-0.0952657904167834","0.265451386680267","-0.615550508310106","0.42501892747654","-0.358882248113964","0.719684365827894"
"6","16p11.2_distal_DUP","-0.169879951282063","0.307639994577574","-0.772854340654109","0.433094438089982","-0.552203726031554","0.580810713079112"
"7","16p11.2_proximal_DEL","0.294861027564635","0.398116623925344","-0.485447555329038","1.07516961045831","0.740639827237981","0.458914574119698"
"8","16p11.2_proximal_DUP","0.11988069121911","0.316774779347963","-0.500997876302897","0.740759258741118","0.378441400751247","0.705103974847833"
"9","16p12.1_BP1_BP2_DEL","-0.155324894087204","0.139566787005497","-0.428875796617978","0.11822600844357","-1.11290728560719","0.265752437098648"
"10","16p12.1_BP1_BP2_DUP","-0.366816698890979","0.461575792865183","-1.27150525290674","0.537871855124779","-0.794705234895452","0.426787937939317"
"11","16p12.1_BP2_BP3_DEL","-0.036175719530771","0.259194722915284","-0.544197376444727","0.471845937383185","-0.139569660693265","0.889000453054702"
"12","16p12.1_BP2_BP3_DUP","0.0301861830361317","0.274557877440102","-0.507947256746469","0.568319622818732","0.10994469842781","0.91245357842244"
"13","16p13.11_BP1_BP2_DEL","0.48123765662414","0.402194043645128","-0.307062668920311","1.26953798216859","1.19653103825863","0.231493832989288"
"14","16p13.11_BP1_BP2_DUP","0.186266622303887","0.171074201737161","-0.14903881310095","0.521572057708723","1.08880602926949","0.276243538437481"
"15","16p13.11_BP1_BP3_DUP","-0.292531132696623","0.338026499097777","-0.955063070928267","0.37000080553502","-0.865408876160345","0.386817659704343"
"16","17p12_DEL","0.1281081878466","0.274286273886446","-0.409492908970834","0.665709284664033","0.467060148622809","0.640458437465803"
"17","17p12_DUP","-0.408890342321358","0.337992114554846","-1.07135488684886","0.253574202206139","-1.20976296402622","0.22637433673293"
"18","17q12_DUP","-0.12871810940986","0.356429302371582","-0.82731954205816","0.56988332323844","-0.36113223170319","0.718001793248793"
"19","1q21.1_DEL","0.330797897963933","0.376438700043582","-0.407021954121487","1.06861775004935","0.878756349773908","0.379536702443821"
"20","1q21.1_DUP","-0.122815703923621","0.283631395254419","-0.678733238622282","0.43310183077504","-0.433011669295124","0.665007753710998"
"21","1q21.1_TAR_BP1_BP2_DEL","-0.0492643821234258","0.308643718397085","-0.654206070181712","0.55567730593486","-0.159615696633245","0.873184317860398"
"22","1q21.1_TAR_BP1_BP2_DUP","-0.252129523685651","0.830168310341536","-1.87925941195506","1.37500036458376","-0.303708923292824","0.76135064794327"
"23","1q21.1_TAR_BP1_BP3_DUP","-0.189841079162604","0.229816186987005","-0.640280805657134","0.260598647331926","-0.826056169722015","0.408775313492818"
"24","1q21.1_TAR_BP2_BP3_DUP","1.37885388973072","0.72927219871299","-0.0505196197467415","2.80822739920818","1.89072597606779","0.0586654525527951"
"25","22q11.2_BP1_BP2_A_B_DUP","0.514587487182317","0.610062102126028","-0.681134232984698","1.71030920734933","0.843500170538396","0.398951927690725"
"26","22q11.2_BP1_BP4_A_D_DUP","-0.262869838051222","0.269567769342522","-0.791222665962565","0.265482989860121","-0.975153070756061","0.329488028045092"
"27","22q11.2_BP2_BP4_B_D_DUP","0.379133289155426","0.406735836101509","-0.418068949603531","1.17633552791438","0.932136427390691","0.351269546148196"
"28","22q11.2_BP3_BP4_C_D_DUP","0.476046228492832","0.286238933734854","-0.0849820816274817","1.03707453861315","1.66310788781025","0.0962957451858292"
"29","22q11.2_BP6_BP8_F_H_DUP","0.171520787998946","0.277129021526152","-0.371652094192312","0.714693670190204","0.618920339177684","0.53597104501813"
"30","22q13_DEL","-0.403687660900483","0.490542139118663","-1.36515025357306","0.557774931772096","-0.822941861071859","0.410544126964584"
"31","2q13_NPHP1_DEL","0.155072890554628","0.0809607517168082","-0.00361018281031569","0.313755963919573","1.91540823505513","0.0554449200155635"
"32","2q13_NPHP1_DUP","-0.102524059411464","0.13374723777835","-0.364668645457031","0.159620526634103","-0.766550854540784","0.443351436576264"
